category,label,model_name,visual,conf.low,estimate,conf.high,std.error,statistic,p.value,term,SPECIES
Other,Intercept,final_con_int,🡽,102,105,109,1.96,53.8,1.0499999999999995e-292,(Intercept),FS
Climate,GDD linear,final_con_int,🡾,-144,-82.8,-21.7,31.3,-2.65,0.00822,"poly(GDD_conservative, degree = 2)1",FS
Climate,GDD quadratic,final_con_int,🡥,-26.3,5.4,37.1,16.2,0.333,0.739,"poly(GDD_conservative, degree = 2)2",FS
Climate,CDD,final_con_int,🡽,0.0115,0.0169,0.0223,0.00276,6.13,1.31e-9,CDD_conservative,FS
Stand structure,Tree height linear,final_con_int,🡦,-57.2,-19.5,18.2,19.3,-1.01,0.312,"poly(TREE_HEIGHT, degree = 2)1",FS
Stand structure,Tree height quadratic,final_con_int,🡽,24.8,56.4,87.9,16.1,3.49,5.05e-4,"poly(TREE_HEIGHT, degree = 2)2",FS
Topography,Elevation,final_con_int,🡽,0.00353,0.00848,0.0134,0.00246,3.45,0.00131,TREE_ELEVATION,FS
Climate,GDD linear:CDD,final_con_int,🡥,-0.06,0.121,0.301,0.0925,1.31,0.192,"poly(GDD_conservative, degree = 2)1:CDD_conservative",FS
Climate,GDD quadratic:CDD,final_con_int,🡥,-0.028,0.0628,0.154,0.0465,1.35,0.177,"poly(GDD_conservative, degree = 2)2:CDD_conservative",FS
Other,sd Intercept,final_con_int,NA,2.49,3.25,4.25,NA,NA,NA,sd_(Intercept),FS
Other,sd Residuals,final_con_int,NA,NA,6.54,NA,NA,NA,NA,sd_Observation,FS
Other,Intercept,ref_imp_con_int,🡽,111,115,119,1.95,58.9,1.3e-322,(Intercept),FS
Climate,GDD,ref_imp_con_int,🡾,-0.0302,-0.021,-0.0118,0.00468,-4.49,8.03e-6,GDD_conservative,FS
Climate,CDD,ref_imp_con_int,🡽,0.0131,0.0182,0.0234,0.00261,6.98,5.63e-12,CDD_conservative,FS
Other,sd Intercept,ref_imp_con_int,NA,3.77,4.82,6.17,NA,NA,NA,sd_(Intercept),FS
Other,sd Residuals,ref_imp_con_int,NA,NA,6.56,NA,NA,NA,NA,sd_Observation,FS
Other,Intercept,final_con_slo,🡽,102,106,110,1.98,53.7,1.0199999999999993e-291,(Intercept),FS
Climate,GDD linear,final_con_slo,🡾,-153,-89.3,-25.2,32.8,-2.72,0.00661,"poly(GDD_conservative, degree = 2)1",FS
Climate,GDD quadratic,final_con_slo,🡥,-22.4,14.5,51.5,18.9,0.769,0.442,"poly(GDD_conservative, degree = 2)2",FS
Climate,CDD,final_con_slo,🡽,0.0113,0.0167,0.022,0.00274,6.08,1.72e-9,CDD_conservative,FS
Stand structure,Tree height linear,final_con_slo,🡦,-53.5,-17.4,18.8,18.5,-0.939,0.348,"poly(TREE_HEIGHT, degree = 2)1",FS
Stand structure,Tree height quadratic,final_con_slo,🡽,27.2,58.1,89,15.8,3.67,2.56e-4,"poly(TREE_HEIGHT, degree = 2)2",FS
Topography,Elevation,final_con_slo,🡽,0.00231,0.00737,0.0124,0.00252,2.93,0.0055,TREE_ELEVATION,FS
Climate,GDD linear:CDD,final_con_slo,🡥,-0.0435,0.141,0.325,0.0944,1.49,0.136,"poly(GDD_conservative, degree = 2)1:CDD_conservative",FS
Climate,GDD quadratic:CDD,final_con_slo,🡥,-0.0511,0.0488,0.149,0.0511,0.955,0.34,"poly(GDD_conservative, degree = 2)2:CDD_conservative",FS
Other,sd Intercept,final_con_slo,NA,2.3,3.21,4.48,NA,NA,NA,sd_(Intercept),FS
Climate,poly(GDD),final_con_slo,NA,-0.927,-0.444,0.591,NA,NA,NA,"cor_poly(GDD_conservative, degree = 2)[, 1].(Intercept)",FS
Climate,GDD,final_con_slo,NA,NA,33.1,NA,NA,NA,NA,"sd_poly(GDD_conservative, degree = 2)[, 1]",FS
Other,sd Residuals,final_con_slo,NA,NA,6.51,NA,NA,NA,NA,sd_Observation,FS
NA,NA,final_con_slo,NA,7.51,NA,146,NA,NA,NA,"sd_poly(GDD_conservative. degree = 2)[, 1]",FS
Other,Intercept,ref_imp_con_slo,🡽,109,112,114,1.35,82.9,0,(Intercept),FS
Climate,GDD linear,ref_imp_con_slo,🡾,-185,-122,-59.3,32.1,-3.8,1.51e-4,"poly(GDD_conservative, degree = 2)1",FS
Climate,GDD quadratic,ref_imp_con_slo,🡥,-11.6,22,55.5,17.2,1.28,0.201,"poly(GDD_conservative, degree = 2)2",FS
Climate,CDD,ref_imp_con_slo,🡽,0.0122,0.0175,0.0228,0.00271,6.45,1.73e-10,CDD_conservative,FS
Climate,GDD linear:CDD,ref_imp_con_slo,🡽,0.0272,0.207,0.387,0.092,2.25,0.0245,"poly(GDD_conservative, degree = 2)1:CDD_conservative",FS
Climate,GDD quadratic:CDD,ref_imp_con_slo,🡥,-0.0441,0.0484,0.141,0.0473,1.02,0.307,"poly(GDD_conservative, degree = 2)2:CDD_conservative",FS
