category,label,model_name,visual,conf.low,estimate,conf.high,std.error,statistic,p.value,term,SPECIES
Other,Intercept,final_con_int,🡽,104,109,114,2.56,42.7,5.009999999999998e-226,(Intercept),LD
Climate,GDD,final_con_int,🡾,-0.063,-0.043,-0.0231,0.0102,-4.23,2.55e-5,GDD_conservative,LD
Climate,CDD,final_con_int,🡽,0.0153,0.0224,0.0294,0.00361,6.2,8.26e-10,CDD_conservative,LD
Climate,GDD:CDD,final_con_int,🡾,-1.92e-4,-1.48e-4,-1.04e-4,2.27e-5,-6.53,1.08e-10,GDD_conservative:CDD_conservative,LD
Other,sd Intercept,final_con_int,NA,8.85,10.9,13.5,NA,NA,NA,sd_(Intercept),LD
Other,sd Residuals,final_con_int,NA,NA,6.97,NA,NA,NA,NA,sd_Observation,LD
Other,Intercept,ref_imp_con_int,🡽,101,105,109,1.92,54.9,1.0699999999999993e-301,(Intercept),LD
Climate,GDD linear,ref_imp_con_int,🡾,-235,-206,-178,14.4,-14.3,2.6899999999999998e-42,"poly(GDD_conservative, degree = 2)1",LD
Climate,GDD quadratic,ref_imp_con_int,🡽,58.4,78.9,99.4,10.5,7.54,1.06e-13,"poly(GDD_conservative, degree = 2)2",LD
Climate,CDD,ref_imp_con_int,🡥,-0.00124,0.0044,0.01,0.00288,1.53,0.127,CDD_conservative,LD
Other,sd Intercept,ref_imp_con_int,NA,8.13,10.1,12.5,NA,NA,NA,sd_(Intercept),LD
Other,sd Residuals,ref_imp_con_int,NA,NA,6.98,NA,NA,NA,NA,sd_Observation,LD
Other,Intercept,final_con_slo,🡽,101,104,108,1.88,55.4,1.509999999999999e-304,(Intercept),LD
Climate,GDD linear,final_con_slo,🡾,-213,-155,-97.3,29.5,-5.26,1.79e-7,"poly(GDD_conservative, degree = 2)1",LD
Climate,GDD quadratic,final_con_slo,🡥,-27.9,11.3,50.4,20,0.563,0.574,"poly(GDD_conservative, degree = 2)2",LD
Climate,CDD,final_con_slo,🡥,-0.00185,0.00378,0.00941,0.00288,1.31,0.19,CDD_conservative,LD
Climate,GDD linear:CDD,final_con_slo,🡾,-0.341,-0.176,-0.0106,0.0845,-2.08,0.0376,"poly(GDD_conservative, degree = 2)1:CDD_conservative",LD
Climate,GDD quadratic:CDD,final_con_slo,🡥,-0.0447,0.0726,0.19,0.06,1.21,0.226,"poly(GDD_conservative, degree = 2)2:CDD_conservative",LD
Other,sd Intercept,final_con_slo,NA,6.4,8.61,11.6,NA,NA,NA,sd_(Intercept),LD
NA,NA,final_con_slo,NA,-0.812,0.561,0.984,NA,NA,NA,cor_GDD_conservative.(Intercept),LD
NA,NA,final_con_slo,NA,0.00299,0.0147,0.0727,NA,NA,NA,sd_GDD_conservative,LD
Other,sd Residuals,final_con_slo,NA,NA,6.93,NA,NA,NA,NA,sd_Observation,LD
Other,Intercept,ref_imp_con_slo,🡽,101,104,108,1.88,55.4,1.509999999999999e-304,(Intercept),LD
Climate,GDD linear,ref_imp_con_slo,🡾,-213,-155,-97.3,29.5,-5.26,1.79e-7,"poly(GDD_conservative, degree = 2)1",LD
Climate,GDD quadratic,ref_imp_con_slo,🡥,-27.9,11.3,50.4,20,0.563,0.574,"poly(GDD_conservative, degree = 2)2",LD
Climate,CDD,ref_imp_con_slo,🡥,-0.00185,0.00378,0.00941,0.00288,1.31,0.19,CDD_conservative,LD
Climate,GDD linear:CDD,ref_imp_con_slo,🡾,-0.341,-0.176,-0.0106,0.0845,-2.08,0.0376,"poly(GDD_conservative, degree = 2)1:CDD_conservative",LD
Climate,GDD quadratic:CDD,ref_imp_con_slo,🡥,-0.0447,0.0726,0.19,0.06,1.21,0.226,"poly(GDD_conservative, degree = 2)2:CDD_conservative",LD
Other,sd Intercept,ref_imp_con_slo,NA,6.4,8.61,11.6,NA,NA,NA,sd_(Intercept),LD
NA,NA,ref_imp_con_slo,NA,-0.812,0.561,0.984,NA,NA,NA,cor_GDD_conservative.(Intercept),LD
NA,NA,ref_imp_con_slo,NA,0.00299,0.0147,0.0727,NA,NA,NA,sd_GDD_conservative,LD
Other,sd Residuals,ref_imp_con_slo,NA,NA,6.93,NA,NA,NA,NA,sd_Observation,LD
Other,Intercept,ref_imp_con_int_line_1,🡽,104,109,114,2.56,42.7,5.009999999999998e-226,(Intercept),LD
Climate,CDD,ref_imp_con_int_line_1,🡽,0.0153,0.0224,0.0294,0.00361,6.2,8.26e-10,CDD_conservative,LD
Climate,GDD,ref_imp_con_int_line_1,🡾,-0.063,-0.043,-0.0231,0.0102,-4.23,2.55e-5,GDD_conservative,LD
Climate,CDD:GDD,ref_imp_con_int_line_1,🡾,-1.92e-4,-1.48e-4,-1.04e-4,2.27e-5,-6.53,1.08e-10,CDD_conservative:GDD_conservative,LD
Other,sd Intercept,ref_imp_con_int_line_1,NA,8.85,10.9,13.5,NA,NA,NA,sd_(Intercept),LD
Other,sd Residuals,ref_imp_con_int_line_1,NA,NA,6.97,NA,NA,NA,NA,sd_Observation,LD
Other,Intercept,ref_imp_con_int_line_2,🡽,116,120,123,1.82,65.7,0,(Intercept),LD
Climate,GDD,ref_imp_con_int_line_2,🡾,-0.117,-0.107,-0.0973,0.00491,-21.8,3.7499999999999996e-86,GDD_conservative,LD
Other,sd Intercept,ref_imp_con_int_line_2,NA,9.57,11.8,14.4,NA,NA,NA,sd_(Intercept),LD
Other,sd Residuals,ref_imp_con_int_line_2,NA,NA,7.13,NA,NA,NA,NA,sd_Observation,LD
Other,Intercept,ref_imp_con_int_line_3,🡽,110,115,120,2.43,47.5,6.639999999999996e-257,(Intercept),LD
Climate,CDD,ref_imp_con_int_line_3,🡽,0.00227,0.00795,0.0136,0.0029,2.74,0.00626,CDD_conservative,LD
Climate,GDD,ref_imp_con_int_line_3,🡾,-0.108,-0.0959,-0.0836,0.00628,-15.3,1.8e-47,GDD_conservative,LD
Other,sd Intercept,ref_imp_con_int_line_3,NA,8.96,11.1,13.7,NA,NA,NA,sd_(Intercept),LD
Other,sd Residuals,ref_imp_con_int_line_3,NA,NA,7.12,NA,NA,NA,NA,sd_Observation,LD
Other,Intercept,ref_imp_con_int_poly_1,🡽,101,105,109,1.93,54.3,2.6399999999999985e-298,(Intercept),LD
Climate,CDD,ref_imp_con_int_poly_1,🡥,-0.00211,0.00355,0.00921,0.00289,1.23,0.22,CDD_conservative,LD
Climate,GDD linear,ref_imp_con_int_poly_1,🡾,-220,-164,-108,28.7,-5.71,1.45e-8,"poly(GDD_conservative, degree = 2)1",LD
