category,label,model_name,visual,conf.low,estimate,conf.high,std.error,statistic,p.value,term,SPECIES
Other,Intercept,final_con_int,🡽,114,122,129,3.85,31.6,1.9199999999999994e-150,(Intercept),PA
Climate,GDD linear,final_con_int,🡾,-255,-235,-214,10.6,-22.1,1.7399999999999994e-87,"poly(GDD_conservative, degree = 2)1",PA
Climate,GDD quadratic,final_con_int,🡽,22.2,37.2,52.2,7.66,4.86,1.39e-6,"poly(GDD_conservative, degree = 2)2",PA
Stand structure,Stand height linear,final_con_int,🡦,-104,-12.1,80.3,47.2,-0.255,0.798,"poly(STAND_HEIGHT, degree = 2)1",PA
Stand structure,Stand height quadratic,final_con_int,🡽,42.7,130,217,44.5,2.92,0.00362,"poly(STAND_HEIGHT, degree = 2)2",PA
Topography,Elevation,final_con_int,🡽,0.0039,0.0126,0.0212,0.00432,2.91,0.0055,TREE_ELEVATION,PA
Other,sd Intercept,final_con_int,NA,7.94,9.81,12.1,NA,NA,NA,sd_(Intercept),PA
Other,sd Residuals,final_con_int,NA,NA,7,NA,NA,NA,NA,sd_Observation,PA
Other,Intercept,ref_imp_con_int,🡽,129,132,135,1.71,77,0,(Intercept),PA
Climate,GDD linear,ref_imp_con_int,🡾,-261,-240,-219,10.6,-22.7,5.889999999999999e-92,"poly(GDD_conservative, degree = 2)1",PA
Climate,GDD quadratic,ref_imp_con_int,🡽,23.9,38.9,53.9,7.63,5.1,4.15e-7,"poly(GDD_conservative, degree = 2)2",PA
Other,sd Intercept,ref_imp_con_int,NA,9.57,11.8,14.4,NA,NA,NA,sd_(Intercept),PA
Other,sd Residuals,ref_imp_con_int,NA,NA,7.01,NA,NA,NA,NA,sd_Observation,PA
Other,Intercept,final_con_slo,🡽,114,122,129,3.87,31.4,2.7999999999999994e-149,(Intercept),PA
Climate,GDD linear,final_con_slo,🡾,-261,-237,-213,12.1,-19.6,2.1199999999999996e-72,"poly(GDD_conservative, degree = 2)1",PA
Climate,GDD quadratic,final_con_slo,🡽,20.2,36.6,53,8.38,4.36,1.42e-5,"poly(GDD_conservative, degree = 2)2",PA
Stand structure,Stand height linear,final_con_slo,🡦,-103,-10.2,82.6,47.4,-0.215,0.83,"poly(STAND_HEIGHT, degree = 2)1",PA
Stand structure,Stand height quadratic,final_con_slo,🡽,39.9,127,215,44.8,2.85,0.0045,"poly(STAND_HEIGHT, degree = 2)2",PA
Topography,Elevation,final_con_slo,🡽,0.00382,0.0125,0.0212,0.00434,2.89,0.00588,TREE_ELEVATION,PA
Other,sd Intercept,final_con_slo,NA,7.7,10.3,13.8,NA,NA,NA,sd_(Intercept),PA
NA,NA,final_con_slo,NA,-0.779,-0.299,0.401,NA,NA,NA,cor_GDD_conservative.(Intercept),PA
NA,NA,final_con_slo,NA,0.00477,0.0121,0.0306,NA,NA,NA,sd_GDD_conservative,PA
Other,sd Residuals,final_con_slo,NA,NA,6.97,NA,NA,NA,NA,sd_Observation,PA
Other,Intercept,ref_imp_con_slo,🡽,129,132,135,1.71,77,0,(Intercept),PA
Climate,GDD linear,ref_imp_con_slo,🡾,-266,-243,-219,12.1,-20,1.2599999999999998e-74,"poly(GDD_conservative, degree = 2)1",PA
Climate,GDD quadratic,ref_imp_con_slo,🡽,22.8,39.3,55.8,8.43,4.66,3.58e-6,"poly(GDD_conservative, degree = 2)2",PA
Other,sd Intercept,ref_imp_con_slo,NA,9.82,12.6,16.2,NA,NA,NA,sd_(Intercept),PA
NA,NA,ref_imp_con_slo,NA,-0.779,-0.389,0.217,NA,NA,NA,cor_GDD_conservative.(Intercept),PA
NA,NA,ref_imp_con_slo,NA,0.00551,0.0128,0.0297,NA,NA,NA,sd_GDD_conservative,PA
Other,sd Residuals,ref_imp_con_slo,NA,NA,6.97,NA,NA,NA,NA,sd_Observation,PA
Other,Intercept,ref_imp_con_int_line_1,🡽,140,147,153,3.14,46.7,1.989999999999999e-249,(Intercept),PA
Climate,CDD,ref_imp_con_int_line_1,🡽,0.00564,0.0145,0.0234,0.00454,3.2,0.00141,CDD_conservative,PA
Climate,GDD,ref_imp_con_int_line_1,🡾,-0.0651,-0.0511,-0.0371,0.00714,-7.15,1.67e-12,GDD_conservative,PA
Climate,CDD:GDD,ref_imp_con_int_line_1,🡾,-1.06e-4,-7.64e-5,-4.72e-5,1.49e-5,-5.12,3.62e-7,CDD_conservative:GDD_conservative,PA
Other,sd Intercept,ref_imp_con_int_line_1,NA,9.78,12.1,14.9,NA,NA,NA,sd_(Intercept),PA
Other,sd Residuals,ref_imp_con_int_line_1,NA,NA,6.99,NA,NA,NA,NA,sd_Observation,PA
Other,Intercept,ref_imp_con_int_line_2,🡽,149,154,160,2.77,55.7,3.249999999999998e-303,(Intercept),PA
Climate,CDD,ref_imp_con_int_line_2,🡦,-0.0094,-0.00398,0.00144,0.00276,-1.44,0.151,CDD_conservative,PA
Climate,GDD,ref_imp_con_int_line_2,🡾,-0.0884,-0.0796,-0.0709,0.00446,-17.8,1.17e-61,GDD_conservative,PA
