category,label,model_name,visual,conf.low,estimate,conf.high,std.error,statistic,p.value,term,SPECIES
Other,Intercept,final_con_int,🡽,113,120,127,3.7,32.3,2.989999999999999e-134,(Intercept),TC
Climate,GDD,final_con_int,🡾,-0.074,-0.0643,-0.0545,0.00498,-12.9,6.659999999999999e-34,GDD_conservative,TC
Topography,Elevation,final_con_int,🡽,0.00999,0.0192,0.0284,0.00454,4.23,1.81e-4,TREE_ELEVATION,TC
Climate,CWB,final_con_int,🡽,0.0147,0.0392,0.0637,0.0125,3.14,0.00179,DROUGHT,TC
Other,sd Intercept,final_con_int,NA,4.51,5.89,7.7,NA,NA,NA,sd_(Intercept),TC
Other,sd Residuals,final_con_int,NA,NA,6.45,NA,NA,NA,NA,sd_Observation,TC
Other,Intercept,ref_imp_con_int,🡽,126,132,139,3.39,39.1,7.839999999999998e-168,(Intercept),TC
Climate,GDD,ref_imp_con_int,🡾,-0.0714,-0.0499,-0.0284,0.011,-4.55,6.53e-6,GDD_conservative,TC
Climate,CDD,ref_imp_con_int,🡽,0.0011,0.0141,0.0271,0.00664,2.12,0.0341,CDD_conservative,TC
Climate,GDD:CDD,ref_imp_con_int,🡾,-1.33e-4,-7.8e-5,-2.26e-5,2.83e-5,-2.76,0.006,GDD_conservative:CDD_conservative,TC
Other,sd Intercept,ref_imp_con_int,NA,6,7.74,9.99,NA,NA,NA,sd_(Intercept),TC
Other,sd Residuals,ref_imp_con_int,NA,NA,6.44,NA,NA,NA,NA,sd_Observation,TC
Other,Intercept,ref_imp_con_slo,🡽,133,137,141,2.06,66.6,1.2199999999999993e-281,(Intercept),TC
Climate,GDD,ref_imp_con_slo,🡾,-0.0874,-0.0761,-0.0649,0.00574,-13.3,1.9099999999999998e-35,GDD_conservative,TC
Other,sd Intercept,ref_imp_con_slo,NA,7,10,14.3,NA,NA,NA,sd_(Intercept),TC
NA,NA,ref_imp_con_slo,NA,-0.921,-0.724,-0.231,NA,NA,NA,cor_GDD_conservative.(Intercept),TC
NA,NA,ref_imp_con_slo,NA,0.00766,0.0183,0.0439,NA,NA,NA,sd_GDD_conservative,TC
Other,sd Residuals,ref_imp_con_slo,NA,NA,6.41,NA,NA,NA,NA,sd_Observation,TC
Other,Intercept,ref_imp_con_int_line_1,🡽,126,132,139,3.39,39.1,7.839999999999998e-168,(Intercept),TC
Climate,CDD,ref_imp_con_int_line_1,🡽,0.0011,0.0141,0.0271,0.00664,2.12,0.0341,CDD_conservative,TC
Climate,GDD,ref_imp_con_int_line_1,🡾,-0.0714,-0.0499,-0.0284,0.011,-4.55,6.53e-6,GDD_conservative,TC
Climate,CDD:GDD,ref_imp_con_int_line_1,🡾,-1.33e-4,-7.8e-5,-2.26e-5,2.83e-5,-2.76,0.006,CDD_conservative:GDD_conservative,TC
Other,sd Intercept,ref_imp_con_int_line_1,NA,6,7.74,9.99,NA,NA,NA,sd_(Intercept),TC
Other,sd Residuals,ref_imp_con_int_line_1,NA,NA,6.44,NA,NA,NA,NA,sd_Observation,TC
Other,Intercept,ref_imp_con_int_line_2,🡽,133,137,140,1.73,78.9,7.3e-322,(Intercept),TC
Climate,GDD,ref_imp_con_int_line_2,🡾,-0.0822,-0.0731,-0.064,0.00465,-15.7,4.979999999999999e-47,GDD_conservative,TC
Other,sd Intercept,ref_imp_con_int_line_2,NA,6.06,7.78,9.99,NA,NA,NA,sd_(Intercept),TC
Other,sd Residuals,ref_imp_con_int_line_2,NA,NA,6.47,NA,NA,NA,NA,sd_Observation,TC
Other,Intercept,ref_imp_con_int_line_3,🡽,133,138,143,2.73,50.5,1.4199999999999998e-219,(Intercept),TC
Climate,CDD,ref_imp_con_int_line_3,🡦,-0.00823,-0.00166,0.0049,0.00335,-0.497,0.62,CDD_conservative,TC
